name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Pacifica HS,PSO,2014,5,4,1,74.05,30.4,29.75,13.9,0.0,74.05,30.4,29.75,13.9,0.0,76.125,29.6,31.725,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rancho Cucamonga HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9,28.2,28.3,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rancho Cucamonga HS,PSO,2014,5,3,1,70.9,28.2,28.3,14.4,0.0,70.9,28.2,28.3,14.4,0.0,75.8,30.0,31.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rancho Cucamonga HS,PSO,2014,6,1,2,73.35,29.1,29.85,14.4,0.0,75.8,30.0,31.4,14.4,0.0,80.35,32.0,31.75,16.6,0.0,4.9,1.8,3.1,0.0,0.0,73.35,29.1,29.85,14.4,0.0
San Marcos HS (SB),PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85,29.4,31.65,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Marcos HS (SB),PSO,2014,5,3,1,76.85,29.4,31.65,15.8,0.0,76.85,29.4,31.65,15.8,0.0,79.35,31.0,33.35,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trabuco Hills HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.15,30.2,27.65,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trabuco Hills HS,PSO,2014,4,3,1,72.15,30.2,27.65,14.3,0.0,72.15,30.2,27.65,14.3,0.0,80.35,33.2,31.25,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trabuco Hills HS,PSO,2014,6,2,2,76.25,31.7,29.45,15.1,0.0,80.35,33.2,31.25,15.9,0.0,79.65,31.0,33.15,15.5,0.0,8.2,3.0,3.6,1.6,0.0,76.25,31.7,29.45,15.1,0.0
Upland HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2,28.4,29.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upland HS,PSO,2014,4,2,1,72.2,28.4,29.0,14.8,0.0,72.2,28.4,29.0,14.8,0.0,81.775,33.4,33.675,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upland HS,PSO,2014,5,1,2,76.988,30.9,31.338,14.75,0.0,81.775,33.4,33.675,14.7,0.0,78.65,30.2,33.25,15.2,0.0,9.575,5.0,4.675,-0.1,0.0,76.988,30.9,31.338,14.75,0.0
Upper Darby,PSO,2014,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75,30.4,28.35,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upper Darby,PSO,2014,5,2,1,74.75,30.4,28.35,16.0,0.0,74.75,30.4,28.35,16.0,0.0,85.65,33.6,34.45,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valencia HS (OC),PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.275,29.6,31.775,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valencia HS (OC),PSO,2014,5,4,1,76.275,29.6,31.775,14.9,0.0,76.275,29.6,31.775,14.9,0.0,81.05,32.8,34.05,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
